,Sex,Job,Housing,Savings account,Checking account,Purpose
0,male,2,own,unknown,little,radio/TV
1,female,2,own,little,moderate,radio/TV
2,male,1,own,little,unknown,education
3,male,2,free,little,little,furniture/equipment
4,male,2,free,little,little,car
5,male,1,free,unknown,unknown,education
6,male,2,own,quite rich,unknown,furniture/equipment
7,male,3,rent,little,moderate,car
8,male,1,own,rich,unknown,radio/TV
9,male,3,own,little,moderate,car
10,female,2,rent,little,moderate,car
11,female,2,rent,little,little,business
12,female,2,own,little,moderate,radio/TV
13,male,1,own,little,little,car
14,female,2,rent,little,little,car
15,female,1,own,moderate,little,radio/TV
16,male,2,own,unknown,unknown,radio/TV
17,male,2,own,unknown,little,business
18,female,3,free,little,moderate,car
19,male,2,own,quite rich,unknown,radio/TV
20,male,2,own,little,unknown,car
21,male,2,rent,quite rich,little,radio/TV
22,male,1,rent,little,little,car
23,male,2,own,moderate,moderate,car
24,male,2,own,unknown,unknown,furniture/equipment
25,male,1,own,little,little,furniture/equipment
26,male,1,own,little,unknown,radio/TV
27,female,2,rent,rich,rich,radio/TV
28,male,2,own,little,moderate,radio/TV
29,male,2,own,little,little,business
30,male,2,own,rich,moderate,business
31,male,2,own,little,little,furniture/equipment
32,male,2,own,moderate,moderate,car
33,male,1,rent,unknown,unknown,business
34,female,3,own,little,rich,furniture/equipment
35,male,1,own,little,moderate,radio/TV
36,male,2,free,little,unknown,education
37,male,2,own,little,rich,radio/TV
38,male,2,own,little,rich,domestic appliances
39,male,2,own,little,moderate,radio/TV
40,male,3,own,quite rich,unknown,radio/TV
41,male,2,own,quite rich,moderate,radio/TV
42,male,1,own,little,moderate,repairs
43,male,2,rent,moderate,little,car
44,female,1,free,little,little,car
45,female,3,own,little,unknown,car
46,male,2,own,quite rich,unknown,radio/TV
47,female,0,rent,quite rich,little,car
48,male,1,own,little,unknown,car
49,female,2,own,moderate,unknown,radio/TV
50,male,1,own,unknown,moderate,furniture/equipment
51,male,3,own,little,moderate,car
52,male,2,own,little,unknown,radio/TV
53,male,2,own,unknown,unknown,car
54,male,2,free,little,moderate,car
55,male,1,own,unknown,unknown,car
56,male,3,own,unknown,moderate,radio/TV
57,female,2,own,little,unknown,radio/TV
58,female,3,own,little,rich,car
